name,value,default,flags,help_text,example,,,,,,,,,,,,,,
_record,,,,Record a demo incrementally.,_record,,,,,,,,,,,,,,
ammo_357sig_small_max,24,,game client replicated,,ammo_357sig_small_max 24,,,,,,,,,,,,,,
ammo_556mm_small_max,40,,game client replicated,,ammo_556mm_small_max 40,,,,,,,,,,,,,,
animevents_dump,,,game cheat,List all the currently registered anim events.,,,,,,,,,,,,,,,
animgraph_debug_entindex,0,,game client cheat replicated,The entity to specifically debug,,,,,,,,,,,,,,,
animgraph_record_all,FALSE,,game client cheat replicated,"Automatically start recording AnimGraphs when they get created, and save them to disk when they are destroyed",,,,,,,,,,,,,,,
annotation_clear,,,client,Clear all annotation,,,,,,,,,,,,,,,
automatically_open_saved_animgraph_recording,FALSE,,game client archive replicated,,,,,,,,,,,,,,,,
binddefaults,,,,Bind all keys to their default values.,,,,,,,,,,,,,,,
bot_all_weapons,,,game,Allows the bots to use all weapons,,,,,,,,,,,,,,,
bot_allow_grenades,TRUE,,game,"If nonzero, bots may use grenades.",,,,,,,,,,,,,,,
bot_allow_machine_guns,TRUE,,game,"If nonzero, bots may use the machine gun.",,,,,,,,,,,,,,,
bot_allow_pistols,TRUE,,game,"If nonzero, bots may use pistols.",,,,,,,,,,,,,,,
bot_allow_rifles,TRUE,,game,"If nonzero, bots may use rifles.",,,,,,,,,,,,,,,
bot_allow_rogues,TRUE,,game,"If nonzero, bots may occasionally go 'rogue'. Rogue bots do not obey radio commands, nor pursue scenario goals.",,,,,,,,,,,,,,,
bot_allow_shotguns,TRUE,,game,"If nonzero, bots may use shotguns.",,,,,,,,,,,,,,,
bot_allow_snipers,TRUE,,game,"If nonzero, bots may use sniper rifles.",,,,,,,,,,,,,,,
bot_allow_sub_machine_guns,TRUE,,game,"If nonzero, bots may use sub-machine guns.",,,,,,,,,,,,,,,
bot_auto_follow,FALSE,,game,"If nonzero, bots with high co-op may automatically follow a nearby human player.",,,,,,,,,,,,,,,
bot_auto_vacate,TRUE,,game,"If nonzero, bots will automatically leave to make room for human players.",,,,,,,,,,,,,,,
bot_chatter,normal,,game,"Control how bots talk. Allowed values: 'off', 'radio', 'minimal', or 'normal'.",,,,,,,,,,,,,,,
bot_eco_limit,2000,,game,"If nonzero, bots will not buy if their money falls below this amount.",,,,,,,,,,,,,,,
bot_join_team,any,,game,"Determines the team bots will join into. Allowed values: 'any', 'T', or 'CT'.",,,,,,,,,,,,,,,
bot_kick,"all, t/ct, type, difficulty, name",,game,"Kicks a specific bot, or all bots, matching the given criteria.",,,,,,,,,,,,,,,
bot_kill,"all, t/ct, type, difficulty, name",,game cheat," Kills a specific bot, or all bots, matching the given criteria.",,,,,,,,,,,,,,,
bot_prefix,0,,game,This string is prefixed to the name of all bots that join the game. <difficulty> will be replaced with the bot's difficulty. <weaponclass> will be replaced with the bot's desired weapon class. <skill> will be replaced with a 0-100 representation of the bot's skill.,,,,,,,,,,,,,,,
bot_quota_mode,"normal, fill, match",normal,game,"Determines the type of quota. Allowed values: 'normal', 'fill', and 'match'. If 'fill', the server will adjust bots to keep N players in the game, where N is bot_quota. If 'match', the server will maintain a 1:N ratio of humans to bots, where N is bot_quota.",,,,,,,,,,,,,,,
bot_show_battlefront,FALSE,,game cheat,Show areas where rushing players will initially meet.,,,,,,,,,,,,,,,
bot_stop,"1/all, not_bomber, t/ct",,game cheat,,,,,,,,,,,,,,,,
callvote,,,game,Start a vote on an issue.,,,,,,,,,,,,,,,
cam_collision,1,,client archive,"When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.",,,,,,,,,,,,,,,
cam_ideallag,4,,client archive,Amount of lag used when matching offset to ideal angles in thirdperson view,,,,,,,,,,,,,,,
cc_vr_font_size,"0, 1, 2",,client archive,"0 = small, 1 = med (default), 2 = large",,,,,,,,,,,,,,,
cl_allow_animated_avatars,TRUE,,client archive,Whether or not to allow animated avatars,,,,,,,,,,,,,,,
cl_allow_multi_input_binds,FALSE,,client cheat,,,,,,,,,,,,,,,,
cl_avatar_convert_png,,,client cheat,Converts all rgb avatars in the avatars directory to png,,,,,,,,,,,,,,,
cl_avatar_convert_rgb,,,client cheat,Converts all png avatars in the avatars directory to rgb,,,,,,,,,,,,,,,
cl_change_callback_limit,0.2,,client,change callback msec warning limit,,,,,,,,,,,,,,,
cl_crosshairgap_useweaponvalue,FALSE,TRUE,client archive per_user,"If set to 1, the gap will update dynamically based on which weapon is currently equipped",,,,,,,,,,,,,,,
cl_dm_buyrandomweapons,FALSE,TRUE,client archive,"Player will automatically receive a random weapon on spawn in deathmatch if this is set to 1 (otherwise, they will receive the last weapon)",,,,,,,,,,,,,,,
cl_ent_actornames,,,client cheat,Displays the entity name for all entities that have ShouldDisplayInActorNames true in code,,,,,,,,,,,,,,,
cl_ent_animgraph_record,,,client cheat,Toggles recording of animgraph replay of the given entity(s)  Arguments: entityName automaticallyOpenInAnimgraphEditor  Arguments:    {entity_name} / {class_name} / {entity_index} / {no argument = pick what player is looking at},,,,,,,,,,,,,,,
cl_ent_call,,,client cheat,"ent_call <funcname> <option:entname> calls function on current look target or filtername, checks on ent, then root, then mode, then map scope",,,,,,,,,,,,,,,
cl_ent_clear_debug_overlays,,,client cheat,Clears all debug overlays,,,,,,,,,,,,,,,
cl_ent_find,,,client cheat,Find and list all entities with classnames or targetnames that contain the specified substrings. Format: find_ent <substring>,,,,,,,,,,,,,,,
cl_ent_picker,,,client cheat,"Toggles 'picker' mode.  When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the player is looking at.  Arguments: full - enables all debug information",,,,,,,,,,,,,,,
cl_ent_remove_all,,,client cheat,Removes all entities of the specified type  Arguments:    {entity_name} / {class_name},,,,,,,,,,,,,,,
cl_ent_text_no_name_really_i_mean_it,FALSE,,client cheat,,,,,,,,,,,,,,,,
